Temperature (C)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
0.010000	0.40855	undefined	0.00013564	0.0074957	0.00049376	1000.0	0.0010000	0.00013564	0.0074957	0.00049376	75.944	75.986	1402.9	-0.24139	1790.1	0.56126	1000.0	0.0010000	0.00013564	0.0074957	0.00049376	75.944	75.986	1402.9	-0.24139	1790.1	0.56126
5.0100	0.16953	undefined	0.37941	0.38246	1.3764	1000.0	0.0010000	0.37941	0.38246	1.3764	75.746	75.749	1426.3	-0.23674	1517.5	0.57063	1000.0	0.0010000	0.37941	0.38246	1.3764	75.746	75.749	1426.3	-0.23674	1517.5	0.57063
10.010	0.72615	undefined	0.75743	0.77051	2.7234	1000.0	0.0010000	0.75743	0.77051	2.7234	75.448	75.534	1448.3	-0.23246	1304.8	0.58037	1000.0	0.0010000	0.75743	0.77051	2.7234	75.448	75.534	1448.3	-0.23246	1304.8	0.58037
15.010	2.0306	undefined	1.1338	1.1703	4.0408	1000.0	0.0010000	1.1338	1.1703	4.0408	75.071	75.338	1469.1	-0.22847	1135.9	0.59030	1000.0	0.0010000	1.1338	1.1703	4.0408	75.071	75.338	1469.1	-0.22847	1135.9	0.59030
20.010	4.0361	undefined	1.5080	1.5808	5.3285	1000.0	0.0010000	1.5080	1.5808	5.3285	74.633	75.158	1488.9	-0.22475	999.72	0.60028	1000.0	0.0010000	1.5080	1.5808	5.3285	74.633	75.158	1488.9	-0.22475	999.72	0.60028
25.010	6.6973	undefined	1.8800	2.0007	6.5867	1000.0	0.0010000	1.8800	2.0007	6.5867	74.146	74.991	1507.8	-0.22127	888.44	0.61020	1000.0	0.0010000	1.8800	2.0007	6.5867	74.146	74.991	1507.8	-0.22127	888.44	0.61020
30.010	9.9707	undefined	2.2494	2.4291	7.8154	1000.0	0.0010000	2.2494	2.4291	7.8154	73.621	74.833	1525.9	-0.21802	796.42	0.61998	1000.0	0.0010000	2.2494	2.4291	7.8154	73.621	74.833	1525.9	-0.21802	796.42	0.61998
35.010	13.815	undefined	2.6162	2.8650	9.0153	1000.0	0.0010000	2.6162	2.8650	9.0153	73.068	74.682	1543.3	-0.21497	719.52	0.62956	1000.0	0.0010000	2.6162	2.8650	9.0153	73.068	74.682	1543.3	-0.21497	719.52	0.62956
40.010	18.189	undefined	2.9801	3.3078	10.187	1000.0	0.0010000	2.9801	3.3078	10.187	72.494	74.535	1560.2	-0.21212	654.66	0.63889	1000.0	0.0010000	2.9801	3.3078	10.187	72.494	74.535	1560.2	-0.21212	654.66	0.63889
45.010	23.058	undefined	3.3411	3.7565	11.330	1000.0	0.0010000	3.3411	3.7565	11.330	71.905	74.390	1576.6	-0.20944	599.49	0.64796	1000.0	0.0010000	3.3411	3.7565	11.330	71.905	74.390	1576.6	-0.20944	599.49	0.64796
