ExptNo.,conc,zsv,log-conc,log-zsv
1,1.8,1.34357125,0.5877866649021191,0.295331180789644
2,7.5,470.2488,2.0149030205422647,6.153261916343753
3,31.6,4.892228125,3.4531571205928664,1.5876478489944217
4,133.4,9.687286,4.893352133481524,2.27081430411289
5,562.3,1.586862333,6.332035515298156,0.4617586910896887
6,3.16,1.3851401,1.1505720275988207,0.3258012897581132
7,5.21,4.537974444,1.6505798557652755,1.5124807547860413
8,11.02,57.86580833,2.3997118037247684,4.058126680441218
9,18.17,8.042775,2.89977188240808,2.084774172894305
10,60.34,7.768175972000001,4.099995233730915,2.0500353841824897
11,4.06,1.54497125,1.4011829736136412,0.43500530176233054
12,8.05,537.217396,2.0856720914304723,6.286402846850016
13,23.34,5.85164233,3.15016862685841,1.7667223620145573
14,94.63,11.91158769,4.549974550520141,2.4775116817873655
15,295.89,3.646146429,5.6899877636340115,1.2936708369969185
16,43.82,5.809896667,3.7800903341673204,1.7595627853356066
