Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
273.16	0.40855	undefined	0.00013564	0.0074957	0.00049376	1000.0	0.0010000	0.00013564	0.0074957	0.00049376	75.944	75.986	1402.9	-0.24139	0.0017901	0.56126	1000.0	0.0010000	0.00013564	0.0074957	0.00049376	75.944	75.986	1402.9	-0.24139	0.0017901	0.56126
273.66	0.34746	undefined	0.038104	0.044363	0.13936	1000.0	0.0010000	0.038104	0.044363	0.13936	75.929	75.962	1405.3	-0.24090	0.0017596	0.56218	1000.0	0.0010000	0.038104	0.044363	0.13936	75.929	75.962	1405.3	-0.24090	0.0017596	0.56218
274.16	0.29476	undefined	0.076065	0.081375	0.27795	1000.0	0.0010000	0.076065	0.081375	0.27795	75.914	75.937	1407.7	-0.24043	0.0017298	0.56310	1000.0	0.0010000	0.076065	0.081375	0.27795	75.914	75.937	1407.7	-0.24043	0.0017298	0.56310
274.66	0.25041	undefined	0.11402	0.11853	0.41626	1000.0	0.0010000	0.11402	0.11853	0.41626	75.897	75.913	1410.1	-0.23995	0.0017008	0.56402	1000.0	0.0010000	0.11402	0.11853	0.41626	75.897	75.913	1410.1	-0.23995	0.0017008	0.56402
275.16	0.21436	undefined	0.15196	0.15582	0.55428	1000.0	0.0010000	0.15196	0.15582	0.55428	75.879	75.889	1412.5	-0.23948	0.0016726	0.56495	1000.0	0.0010000	0.15196	0.15582	0.55428	75.879	75.889	1412.5	-0.23948	0.0016726	0.56495
275.66	0.18655	undefined	0.18990	0.19326	0.69202	1000.0	0.0010000	0.18990	0.19326	0.69202	75.859	75.865	1414.8	-0.23902	0.0016451	0.56589	1000.0	0.0010000	0.18990	0.19326	0.69202	75.859	75.865	1414.8	-0.23902	0.0016451	0.56589
276.16	0.16695	undefined	0.22782	0.23083	0.82947	1000.0	0.0010000	0.22782	0.23083	0.82947	75.839	75.841	1417.1	-0.23855	0.0016183	0.56683	1000.0	0.0010000	0.22782	0.23083	0.82947	75.839	75.841	1417.1	-0.23855	0.0016183	0.56683
276.66	0.15549	undefined	0.26573	0.26854	0.96664	1000.0	0.0010000	0.26573	0.26854	0.96664	75.817	75.818	1419.5	-0.23810	0.0015921	0.56777	1000.0	0.0010000	0.26573	0.26854	0.96664	75.817	75.818	1419.5	-0.23810	0.0015921	0.56777
277.16	0.15213	undefined	0.30364	0.30638	1.1035	1000.0	0.0010000	0.30364	0.30638	1.1035	75.795	75.795	1421.8	-0.23764	0.0015666	0.56872	1000.0	0.0010000	0.30364	0.30638	1.1035	75.795	75.795	1421.8	-0.23764	0.0015666	0.56872
277.66	0.15683	undefined	0.34153	0.34435	1.2401	1000.0	0.0010000	0.34153	0.34435	1.2401	75.771	75.772	1424.1	-0.23719	0.0015418	0.56967	1000.0	0.0010000	0.34153	0.34435	1.2401	75.771	75.772	1424.1	-0.23719	0.0015418	0.56967
278.16	0.16953	undefined	0.37941	0.38246	1.3764	1000.0	0.0010000	0.37941	0.38246	1.3764	75.746	75.749	1426.3	-0.23674	0.0015175	0.57063	1000.0	0.0010000	0.37941	0.38246	1.3764	75.746	75.749	1426.3	-0.23674	0.0015175	0.57063
278.66	0.19018	undefined	0.41728	0.42070	1.5124	1000.0	0.0010000	0.41728	0.42070	1.5124	75.721	75.727	1428.6	-0.23630	0.0014939	0.57159	1000.0	0.0010000	0.41728	0.42070	1.5124	75.721	75.727	1428.6	-0.23630	0.0014939	0.57159
279.16	0.21874	undefined	0.45513	0.45907	1.6481	1000.0	0.0010000	0.45513	0.45907	1.6481	75.694	75.704	1430.8	-0.23586	0.0014708	0.57255	1000.0	0.0010000	0.45513	0.45907	1.6481	75.694	75.704	1430.8	-0.23586	0.0014708	0.57255
279.66	0.25517	undefined	0.49297	0.49757	1.7836	1000.0	0.0010000	0.49297	0.49757	1.7836	75.666	75.682	1433.1	-0.23542	0.0014483	0.57352	1000.0	0.0010000	0.49297	0.49757	1.7836	75.666	75.682	1433.1	-0.23542	0.0014483	0.57352
280.16	0.29940	undefined	0.53080	0.53619	1.9187	1000.0	0.0010000	0.53080	0.53619	1.9187	75.638	75.661	1435.3	-0.23499	0.0014263	0.57449	1000.0	0.0010000	0.53080	0.53619	1.9187	75.638	75.661	1435.3	-0.23499	0.0014263	0.57449
280.66	0.35139	undefined	0.56861	0.57494	2.0535	1000.0	0.0010000	0.56861	0.57494	2.0535	75.608	75.639	1437.5	-0.23456	0.0014048	0.57546	1000.0	0.0010000	0.56861	0.57494	2.0535	75.608	75.639	1437.5	-0.23456	0.0014048	0.57546
281.16	0.41111	undefined	0.60640	0.61381	2.1881	1000.0	0.0010000	0.60640	0.61381	2.1881	75.578	75.618	1439.7	-0.23413	0.0013839	0.57644	1000.0	0.0010000	0.60640	0.61381	2.1881	75.578	75.618	1439.7	-0.23413	0.0013839	0.57644
281.66	0.47848	undefined	0.64418	0.65280	2.3224	1000.0	0.0010000	0.64418	0.65280	2.3224	75.547	75.596	1441.9	-0.23371	0.0013634	0.57742	1000.0	0.0010000	0.64418	0.65280	2.3224	75.547	75.596	1441.9	-0.23371	0.0013634	0.57742
282.16	0.55348	undefined	0.68195	0.69192	2.4563	1000.0	0.0010000	0.68195	0.69192	2.4563	75.515	75.575	1444.0	-0.23329	0.0013434	0.57840	1000.0	0.0010000	0.68195	0.69192	2.4563	75.515	75.575	1444.0	-0.23329	0.0013434	0.57840
282.66	0.63605	undefined	0.71970	0.73116	2.5900	1000.0	0.0010000	0.71970	0.73116	2.5900	75.482	75.555	1446.2	-0.23287	0.0013239	0.57938	1000.0	0.0010000	0.71970	0.73116	2.5900	75.482	75.555	1446.2	-0.23287	0.0013239	0.57938
283.16	0.72615	undefined	0.75743	0.77051	2.7234	1000.0	0.0010000	0.75743	0.77051	2.7234	75.448	75.534	1448.3	-0.23246	0.0013048	0.58037	1000.0	0.0010000	0.75743	0.77051	2.7234	75.448	75.534	1448.3	-0.23246	0.0013048	0.58037
283.66	0.82372	undefined	0.79515	0.80999	2.8564	1000.0	0.0010000	0.79515	0.80999	2.8564	75.414	75.514	1450.5	-0.23204	0.0012862	0.58136	1000.0	0.0010000	0.79515	0.80999	2.8564	75.414	75.514	1450.5	-0.23204	0.0012862	0.58136
284.16	0.92872	undefined	0.83285	0.84958	2.9892	1000.0	0.0010000	0.83285	0.84958	2.9892	75.379	75.493	1452.6	-0.23164	0.0012679	0.58235	1000.0	0.0010000	0.83285	0.84958	2.9892	75.379	75.493	1452.6	-0.23164	0.0012679	0.58235
284.66	1.0411	undefined	0.87053	0.88928	3.1217	1000.0	0.0010000	0.87053	0.88928	3.1217	75.343	75.473	1454.7	-0.23123	0.0012501	0.58334	1000.0	0.0010000	0.87053	0.88928	3.1217	75.343	75.473	1454.7	-0.23123	0.0012501	0.58334
285.16	1.1608	undefined	0.90819	0.92910	3.2539	1000.0	0.0010000	0.90819	0.92910	3.2539	75.306	75.454	1456.8	-0.23083	0.0012327	0.58433	1000.0	0.0010000	0.90819	0.92910	3.2539	75.306	75.454	1456.8	-0.23083	0.0012327	0.58433
285.66	1.2878	undefined	0.94583	0.96903	3.3858	1000.0	0.0010000	0.94583	0.96903	3.3858	75.268	75.434	1458.9	-0.23043	0.0012157	0.58532	1000.0	0.0010000	0.94583	0.96903	3.3858	75.268	75.434	1458.9	-0.23043	0.0012157	0.58532
